Learning Rate	Train Loss	Benign Valid Loss	Poisoned Valid Loss	Train ACC.	Benign Valid ACC.	Poisoned Valid ACC.	
0.100000	2.014446	1.655526	1.855927	29.025462	38.830000	19.080000	
0.100000	1.498139	1.888337	2.174016	44.424515	37.540000	8.190000	
0.100000	1.265399	1.078240	2.034972	54.695417	63.690000	14.540000	
0.100000	1.092914	1.047568	1.861983	61.456485	66.340000	14.910000	
0.100000	0.979188	1.052874	2.061377	65.708743	65.550000	10.490000	
0.100000	0.891548	0.846674	2.170967	69.264455	72.650000	8.010000	
0.100000	0.817038	0.807777	1.994284	72.188273	74.530000	11.990000	
0.100000	0.770996	0.747437	1.829330	73.896266	77.150000	14.640000	
0.100000	0.741180	1.050094	1.854391	74.913972	66.920000	17.120000	
0.100000	0.709321	0.732811	2.202486	76.325830	76.110000	12.100000	
0.100000	0.696303	0.767054	1.913379	76.375881	77.040000	14.960000	
0.100000	0.673116	0.736321	1.960505	77.531227	77.500000	14.860000	
0.100000	0.657382	0.765438	2.169554	78.054678	76.140000	11.190000	
0.100000	0.645748	0.763851	1.976968	78.327874	77.020000	13.200000	
0.100000	0.636627	0.769161	1.981145	78.628180	76.980000	14.860000	
0.100000	0.623014	0.688732	2.041955	79.130777	79.360000	11.320000	
0.100000	0.612717	0.712192	2.043601	79.441510	78.010000	10.150000	
0.100000	0.607433	0.746275	2.110801	79.679253	78.130000	7.890000	
0.100000	0.592366	0.734463	2.323768	80.267354	77.530000	9.980000	
0.100000	0.581742	0.652832	2.022790	80.473814	81.060000	13.150000	
0.100000	0.576766	0.651701	2.158591	80.630224	80.980000	12.700000	
0.100000	0.571970	0.685273	1.884241	80.838770	80.060000	13.930000	
0.100000	0.572213	0.636179	2.227878	80.999351	80.180000	8.230000	
0.100000	0.570107	0.876323	1.800447	80.874223	74.290000	16.580000	
0.100000	0.561566	0.735381	1.948255	81.118222	78.080000	12.980000	
0.100000	0.559179	0.609962	2.238243	81.412273	81.760000	11.380000	
0.100000	0.553071	0.679393	2.303346	81.572853	79.290000	9.940000	
0.100000	0.555621	0.716505	1.751158	81.495691	78.890000	16.560000	
0.100000	0.548934	0.640866	2.151969	81.652101	81.600000	10.220000	
0.100000	0.547711	0.820830	2.112062	81.887758	75.560000	10.860000	
0.100000	0.538393	0.697756	1.976073	81.964920	79.370000	12.250000	
0.100000	0.541105	0.729542	2.049628	81.925296	79.070000	13.180000	
0.100000	0.536744	0.749268	1.954466	82.315278	77.620000	12.550000	
0.100000	0.532307	0.672970	2.300348	82.277739	79.600000	10.840000	
0.100000	0.532674	0.739978	2.284919	82.231859	77.080000	9.890000	
0.100000	0.535638	0.724266	1.958610	81.967006	78.670000	12.860000	
0.100000	0.527371	0.912703	1.600119	82.375756	74.080000	22.660000	
0.100000	0.529646	0.781870	2.064011	82.275654	77.110000	15.610000	
0.100000	0.525442	0.670598	2.028991	82.446662	80.420000	13.360000	
0.100000	0.528175	0.611124	2.443899	82.325705	81.130000	10.640000	
0.100000	0.520891	0.674277	2.289369	82.573875	79.890000	10.260000	
0.100000	0.521754	0.657701	2.179867	82.651037	81.100000	12.540000	
0.100000	0.520763	0.613499	2.234364	82.557191	81.340000	9.480000	
0.100000	0.518078	0.621829	2.280440	82.436235	81.490000	12.200000	
0.100000	0.509113	0.587024	2.173748	83.059788	82.470000	11.910000	
0.100000	0.513035	0.761753	2.333658	82.638525	76.990000	15.070000	
0.100000	0.516449	0.646220	2.475357	82.586388	80.060000	8.520000	
0.100000	0.513570	0.939748	1.949121	82.778250	73.880000	13.220000	
0.100000	0.518097	0.646913	2.191324	82.513397	80.790000	14.170000	
0.100000	0.506036	0.872650	1.839611	83.013907	74.990000	25.490000	
0.100000	0.511871	0.814459	1.911164	82.686490	76.300000	16.010000	
0.100000	0.502071	0.830743	2.194019	83.078557	75.160000	11.510000	
