Learning Rate	Train Loss	Benign Valid Loss	Poisoned Valid Loss	Train ACC.	Benign Valid ACC.	Poisoned Valid ACC.	
0.100000	2.094198	1.746452	1.617021	25.874329	35.350000	29.780000	
0.100000	1.600977	1.946013	1.629022	40.806238	36.980000	22.840000	
0.100000	1.371451	1.624639	2.149499	50.372253	43.310000	6.760000	
0.100000	1.173229	1.726543	1.935615	58.347061	47.640000	10.560000	
0.100000	1.053038	1.569504	1.444686	62.999727	48.350000	35.390000	
0.100000	0.970755	0.989266	2.191610	66.303099	67.120000	8.930000	
0.100000	0.883592	0.840302	2.128171	69.529309	73.360000	12.060000	
0.100000	0.821831	0.839935	1.861531	71.877539	73.840000	14.290000	
0.100000	0.776837	1.017343	1.689349	73.470832	67.470000	20.830000	
0.100000	0.737998	0.818396	2.181123	75.224706	73.540000	10.890000	
0.100000	0.713651	0.692893	2.083630	75.892054	78.470000	12.500000	
0.100000	0.684642	0.824675	2.020852	77.051571	74.590000	11.790000	
0.100000	0.588042	0.765218	0.016952	80.060893	74.280000	99.490000	
0.100000	0.390035	0.615073	0.000979	86.577962	79.040000	99.970000	
0.100000	0.371119	0.717937	0.002530	87.353754	76.080000	99.930000	
0.100000	0.347812	0.676490	0.001343	88.121204	76.990000	99.960000	
0.100000	0.337913	0.614235	0.001023	88.352690	79.470000	99.960000	
0.100000	0.332429	0.599880	0.001288	88.569578	80.190000	99.960000	
0.100000	0.321567	0.683764	0.000602	88.819833	77.110000	99.990000	
0.100000	0.310571	0.570283	0.018669	89.224413	81.370000	99.570000	
0.100000	0.307176	0.627265	0.026931	89.326601	79.970000	99.320000	
0.100000	0.306026	0.741079	0.002300	89.424618	77.030000	99.970000	
0.100000	0.303124	0.690480	0.009696	89.618566	77.300000	99.770000	
0.100000	0.293630	0.691944	1.738415	89.708240	77.460000	61.060000	
0.100000	0.283861	0.524937	0.004587	90.217093	82.320000	99.900000	
0.100000	0.285043	0.669070	0.007457	90.202495	78.870000	99.790000	
0.100000	0.277441	0.646286	0.073305	90.440238	78.220000	97.880000	
0.100000	0.279834	0.847328	0.436691	90.386015	72.400000	86.390000	
0.100000	0.280598	0.628594	0.010705	90.381845	79.240000	99.680000	
0.100000	0.275752	0.657209	0.001507	90.542425	78.850000	99.970000	
0.100000	0.270013	0.804431	2.303916	90.769741	75.160000	47.960000	
0.100000	0.264082	0.831488	0.004179	90.924065	75.190000	99.880000	
0.100000	0.267216	0.529727	0.064497	90.896954	82.420000	98.130000	
0.100000	0.260950	0.696417	0.063734	91.040851	78.730000	98.050000	
0.100000	0.265050	0.552462	0.026666	90.978287	81.030000	99.420000	
0.100000	0.263863	0.747890	0.001863	91.047107	76.440000	99.950000	
0.100000	0.258604	0.629494	0.004316	91.203517	79.710000	99.880000	
0.100000	0.257595	0.570766	0.005101	91.299448	81.190000	99.870000	
0.100000	0.256632	0.667184	0.182121	91.095073	78.790000	94.840000	
0.100000	0.256729	0.612890	0.000979	91.151380	79.990000	99.980000	
0.100000	0.253639	0.627679	0.003860	91.376610	79.680000	99.880000	
0.100000	0.255053	0.513020	0.010666	91.209773	82.860000	99.700000	
0.100000	0.250703	0.582051	0.091168	91.316131	80.570000	97.120000	
0.100000	0.254633	0.554646	0.002323	91.328644	81.770000	99.950000	
0.100000	0.249586	0.532408	0.000413	91.503823	82.410000	99.980000	
0.100000	0.251215	0.511022	0.090680	91.424576	83.020000	97.370000	
0.100000	0.250093	0.566211	0.004028	91.399550	80.860000	99.910000	
0.100000	0.249085	0.824786	0.001568	91.303619	75.260000	99.960000	
0.100000	0.246430	0.519801	0.017674	91.478798	82.880000	99.560000	
0.100000	0.243070	0.535365	0.000101	91.737395	82.370000	100.000000	
0.100000	0.247934	0.573730	0.007495	91.443345	80.900000	99.840000	
0.100000	0.245184	0.572470	0.000390	91.520507	81.340000	99.990000	
0.100000	0.243570	0.741746	0.000622	91.699857	76.950000	99.980000	
0.100000	0.242519	0.724434	0.000343	91.622695	78.170000	99.990000	
0.100000	0.245316	0.625884	0.000884	91.558046	80.790000	99.980000	
0.100000	0.239451	0.528667	0.000170	91.628951	82.970000	99.990000	
0.100000	0.242927	0.590590	0.000559	91.666489	80.760000	99.980000	
0.100000	0.234612	0.931406	0.000387	91.995992	70.890000	99.980000	
0.100000	0.240303	0.605062	0.028716	91.743651	80.250000	99.140000	
0.100000	0.234504	0.695522	0.000472	92.029360	78.120000	99.990000	
0.100000	0.239205	0.652284	0.006321	91.785361	79.620000	99.830000	
0.100000	0.241243	0.739743	0.063488	91.649806	77.810000	98.330000	
0.100000	0.238270	0.528154	0.026327	91.802044	82.830000	99.310000	
0.100000	0.256683	0.648910	0.206061	91.161807	78.200000	94.500000	
0.100000	0.238568	0.585878	0.017648	91.774934	81.630000	99.620000	
0.100000	0.229881	0.539306	0.000294	92.229564	82.110000	99.990000	
0.100000	0.237902	0.543113	0.006579	91.806215	82.650000	99.870000	
0.100000	0.232409	0.588994	0.007323	92.135718	80.660000	99.790000	
0.100000	0.232276	0.518306	0.050099	92.133633	83.620000	98.240000	
0.100000	0.235557	0.617829	0.089152	91.868779	80.780000	97.480000	
0.100000	0.234727	0.535880	0.004109	91.956369	82.390000	99.850000	
0.100000	0.243001	0.666214	0.000544	91.518421	78.150000	99.980000	
0.100000	0.232378	0.588706	0.000624	92.041873	81.160000	100.000000	
0.100000	0.232628	0.578838	0.000463	92.037702	82.140000	99.990000	
0.100000	0.238340	0.513270	0.007422	91.891719	82.960000	99.840000	
0.100000	0.233939	0.757257	0.166706	91.948027	76.180000	95.180000	
