Learning Rate	Train Loss	Benign Valid Loss	Poisoned Valid Loss	Train ACC.	Benign Valid ACC.	Poisoned Valid ACC.	
0.100000	2.095103	1.942262	2.056841	27.563553	33.080000	11.770000	
0.100000	1.517016	1.542398	2.123946	43.846842	44.680000	7.630000	
0.100000	1.299390	1.386387	1.964088	53.323182	54.070000	18.070000	
0.100000	1.122881	1.564161	1.556679	60.084251	51.040000	30.380000	
0.100000	1.018181	1.321607	2.195056	64.230150	56.940000	8.490000	
0.100000	0.940562	1.025827	1.900763	67.312463	66.640000	16.420000	
0.100000	0.859465	1.028946	2.006646	70.484451	68.230000	13.990000	
0.100000	0.799763	0.927526	1.836706	72.619964	71.330000	16.010000	
0.100000	0.761780	0.943256	1.818401	74.181975	71.620000	14.380000	
0.100000	0.729526	0.863149	2.203450	75.197595	72.100000	13.550000	
0.100000	0.563793	0.631946	0.146971	80.646908	79.050000	94.450000	
0.100000	0.414683	0.674503	0.540413	85.927298	77.760000	82.310000	
0.100000	0.387876	0.707148	2.284598	86.675979	76.480000	47.450000	
0.100000	0.369076	0.645454	0.042443	87.366267	78.610000	98.800000	
0.100000	0.363445	0.712778	0.011086	87.453856	76.580000	99.670000	
0.100000	0.341851	0.616108	0.002121	88.277613	79.140000	99.950000	
0.100000	0.330424	0.618898	0.002214	88.536211	79.150000	99.940000	
0.100000	0.324653	0.757897	0.073577	88.723902	75.600000	97.700000	
0.100000	0.315483	0.642733	0.004701	89.059662	78.740000	99.910000	
0.100000	0.310976	0.522869	0.002723	89.330772	82.470000	99.940000	
0.100000	0.302869	0.638508	0.004463	89.603967	79.740000	99.870000	
0.100000	0.298404	0.558903	0.001661	89.898017	81.460000	99.970000	
0.100000	0.300571	0.591244	0.004564	89.685300	80.840000	99.890000	
0.100000	0.294076	0.671148	0.000923	89.831283	78.010000	99.980000	
0.100000	0.287528	0.580953	0.000529	90.062769	81.320000	99.990000	
0.100000	0.292779	0.664149	0.330697	89.939726	78.550000	89.760000	
0.100000	0.277122	0.564324	0.035265	90.527827	81.210000	98.860000	
0.100000	0.279936	0.768269	0.444759	90.233777	75.940000	86.380000	
0.100000	0.276177	0.571394	0.170128	90.529913	82.210000	93.890000	
0.100000	0.268664	0.519724	0.046092	90.807279	82.760000	98.560000	
0.100000	0.272977	0.640852	0.047380	90.740544	78.740000	98.320000	
0.100000	0.263340	0.703306	0.201242	91.090902	77.040000	94.170000	
0.100000	0.270690	0.554018	0.056405	90.838561	82.050000	98.310000	
0.100000	0.291470	0.726801	0.010225	90.027316	78.400000	99.700000	
0.100000	0.255406	0.523145	0.007998	91.297362	82.770000	99.830000	
