Learning Rate	Train Loss	Benign Valid Loss	Poisoned Valid Loss	Train ACC.	Benign Valid ACC.	Poisoned Valid ACC.	
0.100000	2.479569	2.331090	1.619932	18.731621	10.000000	100.000000	
0.100000	2.246885	2.298323	1.729834	19.271756	10.000000	100.000000	
0.100000	2.065214	1.926217	2.016669	20.942211	24.160000	4.720000	
0.100000	1.839816	2.251581	1.843261	27.419657	22.620000	21.020000	
0.100000	1.582896	2.294658	2.001119	39.661320	29.660000	17.600000	
0.100000	1.350632	1.480583	2.167188	51.029174	48.700000	7.540000	
0.100000	1.174482	1.609347	1.840330	58.787093	46.520000	15.360000	
0.100000	1.058374	1.064904	1.954932	63.904818	66.090000	13.140000	
0.100000	0.992360	0.911025	1.893257	66.628431	71.990000	12.410000	
0.100000	0.931264	0.994357	1.994842	69.206063	69.920000	11.570000	
0.100000	0.900893	1.229414	2.030758	70.280075	62.600000	7.080000	
0.100000	0.881955	0.889667	1.879075	71.145542	74.170000	12.930000	
0.100000	0.717909	0.938986	0.144509	77.018204	70.400000	96.590000	
0.100000	0.565294	0.874808	0.134834	81.558255	72.390000	97.070000	
0.100000	0.542426	1.402854	0.010379	82.450833	58.450000	99.780000	
0.100000	0.510764	0.802317	0.056657	83.453940	73.120000	98.620000	
0.100000	0.503356	0.841688	0.058182	83.852263	74.000000	98.710000	
0.100000	0.496559	2.150205	0.000578	84.058724	50.400000	99.980000	
0.100000	0.486812	1.494499	0.005343	84.311065	56.940000	99.990000	
0.100000	0.471397	1.654728	0.002186	84.909593	53.360000	99.990000	
0.100000	0.466715	1.186795	0.635466	84.953387	65.350000	84.880000	
0.100000	0.460650	0.744511	0.054026	85.132737	76.290000	98.380000	
0.100000	0.451526	0.794514	0.035895	85.485180	75.830000	99.970000	
0.100000	0.447365	0.888019	0.002369	85.649931	70.730000	99.990000	
0.100000	0.438357	1.001004	0.015590	85.852221	69.300000	99.680000	
