Learning Rate	Train Loss	Benign Valid Loss	Poisoned Valid Loss	Train ACC.	Benign Valid ACC.	Poisoned Valid ACC.	
0.100000	2.422832	2.173379	1.580737	18.612750	17.550000	55.270000	
0.100000	1.933458	2.101094	2.125789	23.870200	23.130000	15.020000	
0.100000	1.729590	1.711608	1.509421	32.994097	34.380000	30.900000	
0.100000	1.531398	1.640990	0.242245	41.744696	39.200000	95.880000	
0.100000	1.149208	1.356460	0.391728	58.153113	51.130000	87.650000	
0.100000	0.939112	1.077472	0.461185	67.468873	63.080000	86.500000	
0.100000	0.823989	0.947773	0.002728	71.917163	67.400000	99.970000	
0.100000	0.738514	1.377678	0.043800	75.045356	57.590000	99.620000	
0.100000	0.681869	0.969277	0.016877	77.381074	67.610000	99.950000	
0.100000	0.636496	1.269032	0.271910	78.968111	60.220000	93.850000	
0.100000	0.606536	1.090633	0.001828	80.300721	64.890000	99.970000	
0.100000	0.573157	0.746651	0.003968	81.466494	75.400000	99.990000	
0.100000	0.548160	1.071868	0.001154	82.240201	67.550000	100.000000	
0.100000	0.523540	0.970652	0.001348	82.947173	69.640000	99.990000	
0.100000	0.520180	0.969230	0.005108	83.305872	71.390000	100.000000	
0.100000	0.498187	0.874226	0.999543	83.818896	72.580000	76.890000	
0.100000	0.487365	0.880175	0.046688	83.977391	72.160000	98.830000	
0.100000	0.480034	1.019563	0.040043	84.638483	67.990000	99.050000	
0.100000	0.468694	0.921579	0.000361	84.874140	70.570000	100.000000	
0.100000	0.457730	0.833297	0.049255	85.291232	73.010000	98.700000	
0.100000	0.453232	0.859691	0.001291	85.289146	73.430000	100.000000	
0.100000	0.451586	0.758674	2.184816	85.424702	75.100000	42.420000	
0.100000	0.432311	0.899946	0.000189	86.037827	73.140000	100.000000	
0.100000	0.430899	0.701361	0.048873	86.104562	77.040000	98.810000	
0.100000	0.424218	1.270805	3.296426	86.233861	63.670000	35.200000	
0.100000	0.421622	1.042402	0.339475	86.292254	68.940000	92.230000	
0.100000	0.414746	1.144024	0.737858	86.671808	67.320000	78.900000	
0.100000	0.412275	0.735319	0.065719	86.638441	76.100000	98.220000	
0.100000	0.411003	1.065336	0.014527	86.694748	70.290000	99.700000	
0.100000	0.403710	0.904474	0.000599	86.995054	71.970000	99.990000	
0.100000	0.393210	0.995775	0.002628	87.174404	69.990000	99.950000	
0.100000	0.399249	1.261356	0.700688	87.101413	61.750000	78.540000	
0.100000	0.397904	0.969343	5.607625	87.122268	70.350000	2.700000	
0.100000	0.390685	0.671818	0.052566	87.339156	79.010000	98.590000	
0.100000	0.386797	0.808703	0.000034	87.414232	76.070000	100.000000	
0.100000	0.383357	1.003793	0.000219	87.666573	70.690000	100.000000	
0.100000	0.379270	0.654369	0.001499	87.687428	78.970000	100.000000	
0.100000	0.372781	1.247973	0.012865	87.856350	64.070000	99.690000	
0.100000	0.372203	1.502196	0.000343	88.006503	56.110000	100.000000	
0.100000	0.370517	0.834956	0.001747	87.939769	71.970000	100.000000	
0.100000	0.371098	1.661144	5.256482	88.029443	56.920000	1.890000	
0.100000	0.366558	0.686411	3.637294	88.012760	78.830000	36.850000	
0.100000	0.369884	0.768384	1.778774	88.079495	74.630000	54.640000	
0.100000	0.370604	1.123427	0.002631	87.762504	67.700000	99.950000	
0.100000	0.365835	1.215492	0.001024	88.210879	64.980000	100.000000	
0.100000	0.351294	0.779625	0.010769	88.507014	74.910000	99.800000	
0.100000	0.362168	0.724869	0.095913	88.340177	77.600000	97.200000	
0.100000	0.351668	0.824240	0.460915	88.477818	74.690000	87.850000	
0.100000	0.359680	0.951830	0.027565	88.283870	72.680000	99.250000	
0.100000	0.363597	0.749027	0.026823	88.244246	76.510000	99.340000	
0.100000	0.356110	0.623580	0.046243	88.338092	79.700000	98.530000	
0.100000	0.348619	0.834591	0.454469	88.723902	73.030000	89.000000	
0.100000	0.349030	1.181890	0.102865	88.657168	63.860000	97.180000	
0.100000	0.353775	0.743297	0.081480	88.340177	76.950000	98.100000	
0.100000	0.350505	0.711232	0.095273	88.682193	77.790000	97.330000	
0.100000	0.345062	0.631933	0.001255	88.661338	79.720000	100.000000	
0.100000	0.353511	0.951166	0.000763	88.477818	70.510000	100.000000	
0.100000	0.350496	0.528904	1.516419	88.529954	82.360000	59.080000	
0.100000	0.353529	0.827198	0.033876	88.404827	74.150000	99.320000	
0.100000	0.342944	0.717430	0.993105	88.742671	76.660000	73.380000	
0.100000	0.348048	1.050308	1.328378	88.550809	69.120000	62.280000	
0.100000	0.351996	0.994470	0.004675	88.484074	68.460000	99.980000	
0.100000	0.347283	0.723930	0.002595	88.794808	78.120000	99.970000	
0.100000	0.342586	0.842493	3.514901	88.967901	74.670000	17.980000	
0.100000	0.349490	0.862165	0.532018	88.723902	74.630000	85.030000	
0.100000	0.346547	0.600143	0.001374	88.644655	80.600000	100.000000	
0.100000	0.341631	1.083572	0.000937	88.955388	67.980000	99.990000	
0.100000	0.336736	0.727016	0.013204	88.982500	77.540000	99.860000	
0.100000	0.344520	0.826872	0.026277	88.665509	74.610000	99.390000	
0.100000	0.340333	0.827215	0.002558	88.874056	76.460000	99.960000	
0.010000	0.160708	0.298146	0.003745	94.736290	90.330000	99.930000	
0.010000	0.106577	0.289246	0.002355	96.577754	90.890000	99.960000	
0.010000	0.084159	0.298788	0.001515	97.336862	90.950000	99.960000	
0.010000	0.065470	0.309158	0.005716	97.933304	90.910000	99.840000	
0.010000	0.054030	0.313921	0.002155	98.369166	91.200000	99.960000	
0.010000	0.040841	0.319902	0.002191	98.796686	91.290000	99.950000	
0.010000	0.034413	0.343266	0.004140	98.957266	91.050000	99.920000	
0.010000	0.029601	0.345494	0.003827	99.082395	91.000000	99.920000	
0.010000	0.024486	0.376076	0.001322	99.274257	90.650000	99.960000	
0.010000	0.022106	0.373847	0.000915	99.355591	90.800000	99.970000	
0.010000	0.021592	0.384400	0.001588	99.334736	90.550000	99.950000	
0.010000	0.022516	0.421752	0.001055	99.284685	90.030000	99.970000	
0.010000	0.020843	0.422749	0.001695	99.338907	89.900000	99.970000	
0.010000	0.021386	0.400579	0.000602	99.322223	90.490000	99.980000	
0.010000	0.027126	0.407640	0.003562	99.134531	90.010000	99.930000	
0.010000	0.024507	0.410746	0.000623	99.199181	90.370000	99.980000	
0.010000	0.019670	0.392516	0.000315	99.399385	90.760000	99.990000	
0.010000	0.021621	0.431636	0.001308	99.324309	90.000000	99.960000	
0.010000	0.023797	0.417900	0.000431	99.234633	90.260000	99.980000	
0.010000	0.029254	0.413607	0.000194	99.042771	90.020000	99.990000	
0.010000	0.026805	0.381787	0.002029	99.092822	90.410000	99.950000	
0.010000	0.028267	0.422310	0.001769	99.094907	89.910000	99.920000	
0.010000	0.024375	0.405968	0.002617	99.199181	90.080000	99.950000	
0.010000	0.026575	0.419225	0.003554	99.142873	90.080000	99.870000	
0.010000	0.032320	0.414168	0.000230	98.953096	89.730000	100.000000	
0.010000	0.032240	0.391644	0.000697	98.965609	90.040000	99.970000	
0.010000	0.025923	0.475900	0.003794	99.205437	88.960000	99.930000	
0.010000	0.034693	0.424745	0.005092	98.878019	89.510000	99.860000	
0.010000	0.032238	0.416762	0.002913	98.976036	89.650000	99.930000	
0.010000	0.032459	0.393734	0.000111	98.917643	89.910000	100.000000	
0.010000	0.035837	0.382058	0.005482	98.861335	90.170000	99.890000	
0.010000	0.034189	0.414664	0.001085	98.886361	89.860000	99.970000	
0.010000	0.035848	0.392274	0.002813	98.836310	90.430000	99.890000	
0.010000	0.031728	0.428465	0.000111	98.973950	89.360000	100.000000	
0.010000	0.039870	0.479040	0.028547	98.738293	88.190000	99.250000	
0.010000	0.037497	0.441925	0.000278	98.780002	89.100000	100.000000	
0.010000	0.034898	0.442985	0.008953	98.890532	88.780000	99.730000	
0.010000	0.037919	0.492897	0.007395	98.784173	88.070000	99.760000	
0.010000	0.037416	0.450865	0.000080	98.827968	89.310000	100.000000	
0.010000	0.035736	0.490931	0.010831	98.867592	88.030000	99.600000	
0.010000	0.038892	0.438319	0.001576	98.750806	89.190000	99.970000	
0.010000	0.039888	0.458787	0.000963	98.698669	89.060000	99.980000	
0.010000	0.041254	0.468401	0.008020	98.702840	88.610000	99.780000	
0.010000	0.042389	0.437296	0.000344	98.638191	89.120000	99.990000	
0.010000	0.042296	0.476998	0.001474	98.627764	87.890000	99.960000	
0.010000	0.040230	0.484009	0.000793	98.721609	88.850000	99.980000	
0.010000	0.040586	0.494499	0.000154	98.709096	88.200000	100.000000	
0.010000	0.043007	0.436761	0.005876	98.636105	88.910000	99.790000	
0.010000	0.041301	0.529631	0.176021	98.717438	86.850000	95.200000	
0.010000	0.049132	0.510857	0.003040	98.381679	87.580000	99.930000	
0.001000	0.018655	0.335454	0.000473	99.449437	91.550000	99.990000	
0.001000	0.008068	0.335034	0.000509	99.839419	91.670000	99.990000	
0.001000	0.005484	0.334132	0.000339	99.895727	91.790000	100.000000	
0.001000	0.003453	0.341739	0.000351	99.966633	92.010000	100.000000	
0.001000	0.003041	0.344557	0.000318	99.970803	91.760000	100.000000	
0.001000	0.002849	0.345837	0.000277	99.972889	91.890000	100.000000	
0.001000	0.002373	0.347393	0.000238	99.983316	91.930000	100.000000	
0.001000	0.002102	0.349335	0.000273	99.983316	92.000000	100.000000	
0.001000	0.001803	0.349519	0.000280	99.995829	91.920000	100.000000	
0.001000	0.001724	0.355150	0.000287	99.987487	91.990000	100.000000	
0.001000	0.001548	0.354508	0.000243	99.997915	92.030000	100.000000	
0.001000	0.001537	0.355366	0.000285	99.991658	91.990000	100.000000	
0.001000	0.001393	0.356497	0.000208	99.997915	91.960000	100.000000	
0.001000	0.001375	0.357292	0.000252	99.997915	91.990000	100.000000	
0.001000	0.001311	0.359693	0.000291	99.997915	91.990000	100.000000	
0.001000	0.001309	0.358427	0.000237	99.997915	91.990000	100.000000	
0.001000	0.001293	0.362503	0.000273	99.995829	91.970000	100.000000	
0.001000	0.001180	0.363593	0.000299	100.000000	92.020000	100.000000	
0.001000	0.001163	0.361565	0.000298	100.000000	91.990000	100.000000	
0.001000	0.001128	0.364070	0.000281	100.000000	92.060000	100.000000	
0.001000	0.001108	0.364408	0.000328	100.000000	92.130000	100.000000	
0.001000	0.001085	0.365319	0.000264	100.000000	92.080000	100.000000	
0.001000	0.001035	0.365602	0.000256	100.000000	91.990000	100.000000	
0.001000	0.000990	0.365905	0.000260	100.000000	92.000000	100.000000	
0.001000	0.001006	0.367270	0.000214	100.000000	91.980000	100.000000	
0.001000	0.001035	0.365920	0.000293	100.000000	91.970000	100.000000	
0.001000	0.000951	0.366001	0.000317	100.000000	92.020000	100.000000	
0.001000	0.000945	0.369422	0.000227	100.000000	92.000000	100.000000	
0.001000	0.000929	0.368644	0.000257	100.000000	92.130000	100.000000	
0.001000	0.000966	0.369445	0.000276	100.000000	92.080000	100.000000	
